,overhead,scientific_score,expected_quality,scheduled_rate_in_request,scheduled_rate_in_time,cloud,ratio_to_best_airmass,airmass
priority,0.0707687433503974,44.0,0.6365526152813256,0.11,0.07692307692307693,0.3481921403562101,0.14841975070177657,1.8650814247753464
sequential,0.007412066760651759,10.0,0.27807091897819064,0.07,0.08216783216783216,0.14015048434086566,0.19466804440045743,1.413761303911975
