,id,start_time,end_time,ra,dec,priority,configuration,cloud,airmass,scientific_score,ratio_to_best_airmass,expected_quality
0,5095-339-1,2023-06-08 13:35:16.683,2023-06-08 14:35:16.683,268.16126389,-6.14356083,1,{'camera': '2'},0.8214137815727672,1.9642413447183018,4.0,0.13394509633472984,0.8214137815727672
1,3180-149-1,2023-06-08 14:36:07.143,2023-06-08 14:56:07.143,316.94809472,44.96424389,5,{'camera': '3'},0.1859622826033545,1.5578868478100636,0.0,0.5059755915097731,0.1859622826033545
2,1623-613-1,2023-06-08 15:01:19.937,2023-06-08 15:21:19.937,297.18437778,19.66108139,4,{'camera': '2'},0.2621285137966062,1.4291848059201062,1.0,0.26437666873719634,0.2621285137966062
3,2158-1406-1,2023-06-08 15:26:26.689,2023-06-08 15:31:26.689,303.32333306,25.24154472,4,{'camera': '1'},0.12312629559484496,1.369378886784535,1.0,0.289037525520616,0.12312629559484496
4,2687-1355-1,2023-06-08 15:32:03.897,2023-06-08 16:02:03.897,312.15663528,30.79293722,3,{'camera': '3'},0.12342113135999436,1.370263394079983,2.0,0.27655438184801007,0.12342113135999436
5,1645-216-1,2023-06-08 16:02:11.369,2023-06-08 17:02:11.369,308.02652306,22.01413639,4,{'camera': '3'},0.09106538568355496,1.273196157050665,1.0,0.10356038528288758,0.09106538568355496
6,2688-591-1,2023-06-08 17:02:20.324,2023-06-08 17:12:20.324,313.38883722,31.62614639,5,{'camera': '3'},0.08521672163522195,1.1431763842393403,0.0,0.1082209686062778,0.08521672163522195
7,1659-1521-1,2023-06-08 17:17:28.453,2023-06-08 17:27:28.453,312.09782944,21.23328889,2,{'camera': '1'},0.06266734008790534,1.188002020263716,3.0,0.08834364620711466,0.06266734008790534
