,overhead,scientific_score,expected_quality,scheduled_rate_in_request,scheduled_rate_in_time,cloud,ratio_to_best_airmass,airmass
priority,0.15524431213672485,46.0,0.6849899427627619,0.12,0.06993006993006994,0.355457870971338,0.26419051317296366,1.9885962153742716
sequential,0.09188763554697921,12.0,0.3566805915778941,0.08,0.07517482517482517,0.2193751815417812,0.22125178300582568,1.4119162301083388
