,overhead,scientific_score,expected_quality,scheduled_rate_in_request,scheduled_rate_in_time,cloud,ratio_to_best_airmass,airmass
priority,0.15524431213672485,128.0,0.7261118793718839,0.4,0.4,0.40294327342971015,0.4236649125998822,1.9695058178265215
sequential,0.04964985115381548,85.0,0.46998697216844365,0.45,0.45,0.26871511178204166,0.32827176946085557,1.603815581159206
