,overhead,scientific_score,expected_quality,scheduled_rate,cloud,airmass
priority,0.8658745751835072,138.0,0.3747963843216065,0.41,0.06862087602667981,1.91852652488478
sequential,0.9714690355717398,112.0,0.2563578194232178,0.46,0.055846848768751615,1.6015329119633985
